date,ticker,ESG_Alpha_Score
2023-12-29,MSFT,0.9896470418599194
2023-12-29,AMZN,0.9838320556885897
2023-12-29,ACN,0.9812310772776154
2023-12-29,ETN,0.9630293272910384
2023-12-29,FCX,0.9474627230425243
2023-12-29,WMT,0.9465449874700582
2023-12-29,OXY,0.9097036286723253
2023-12-29,LMT,0.9047351289764619
2023-12-29,TJX,0.8979603114324414
2023-12-29,MMM,0.8224559587748225
2023-12-29,AMAT,0.7871702603787581
2023-12-29,ECL,0.759656831220547
2023-12-29,UBS,0.7527933904985269
2023-12-29,MDLZ,0.7513796145652565
2023-12-29,VZ,0.7335154944482826
2023-12-29,ADP,0.7086322804876812
2023-12-29,NKE,0.6957288825136922
2023-12-29,SBUX,0.6888351348762208
2023-12-29,CME,0.6727364839805795
2023-12-29,C,0.6543658894992279
2023-12-29,UNP,0.6204851300791623
2023-12-29,TMUS,0.5984352191872795
2023-12-29,MCO,0.590048227416554
2023-12-29,DIS,0.5763813486857245
2023-12-29,IBM,0.5492884549389921
2023-12-29,GILD,0.525936235732537
2023-12-29,PANW,0.5178471314914533
2023-12-29,META,0.506185512965296
2023-12-29,AAPL,0.5058808987461414
2023-12-29,RY,0.4592123060859491
2023-12-29,AVGO,0.44992293189434496
2023-12-29,TSLA,0.42242893593980135
2023-12-29,NVDA,0.4000332903326579
2023-12-29,TT,0.3855626904990862
2023-12-29,BAC,0.3760416953145188
2023-12-29,HON,0.36452223453910537
2023-12-29,TDG,0.35213670124083696
2023-12-29,PEP,0.3399972802922271
2023-12-29,PYPL,0.2901143467136936
2023-12-29,INTC,0.27115296907620623
2023-12-29,BA,0.24494601859214116
2023-12-29,MS,0.23879104829565845
2023-12-29,CSCO,0.19636996189107392
2023-12-29,JPM,0.1855910920960403
2023-12-29,GM,0.16616902239756115
2023-12-29,NOW,0.15972105716632068
2023-12-29,LLY,0.15354017684254972
2023-12-29,GE,0.1489272270695693
2023-12-29,SO,0.1435269515594133
2023-12-29,SHEL.L,0.08275258916510952
